Speed,direction,precipitation
4.1152,320,0
7.2016,290,0
7.2016,270,0
4.1152,160,0
4.1152,150,0
7.2016,250,0
6.1728,240,0
4.1152,320,0
3.0864,240,0
3.0864,230,0
3.0864,250,0
1.0288,260,0
1.5432,230,0
1.0288,270,0.008333333
2.0576,300,0.008333333
2.0576,330,0.008333333
2.0576,320,0.008333333
3.0864,330,0.008333333
2.0576,330,0.008333333
4.1152,320,0.008333333
4.1152,320,0.008333333
3.0864,340,0.008333333
4.1152,320,0.008333333
4.1152,330,0.008333333
3.0864,340,0.008333333
5.144,320,0.008333333
4.1152,300,0.008333333
3.0864,310,0.008333333
4.1152,70,0.008333333
3.0864,60,0.008333333
0.5144,30,0.008333333
0.5144,30,0.008333333
3.0864,170,0.008333333
1.0288,160,0.008333333
0.5144,120,0.008333333
2.0576,40,0.008333333
2.0576,30,0.008333333
1.0288,30,0
0.5144,30,0
3.0864,30,0
4.1152,50,0
3.0864,30,0
5.144,50,0
5.6584,50,0
4.6296,50,0
4.1152,40,0
4.1152,40,0
4.1152,30,0
4.1152,50,0
3.0864,50,0
3.0864,10,0
5.6584,310,0
4.1152,320,0
5.144,300,0
5.144,290,0
3.0864,270,0
5.144,260,0
3.0864,260,0
3.0864,260,0
5.144,260,0
5.144,270,0
5.144,250,0.004166667
8.2304,260,0.004166667
3.0864,250,0.004166667
3.0864,280,0.004166667
2.0576,290,0.004166667
3.0864,320,0.004166667
2.572,320,0.004166667
1.0288,360,0.004166667
2.0576,30,0.004166667
3.0864,300,0.004166667
3.0864,320,0.004166667
4.1152,320,0.004166667
5.144,320,0.004166667
7.2016,320,0.004166667
6.1728,340,0.004166667
4.1152,350,0.004166667
4.1152,360,0.004166667
3.6008,20,0.004166667
3.0864,20,0.004166667
4.1152,30,0.004166667
4.1152,30,0.004166667
2.0576,40,0.004166667
3.0864,10,0.004166667
5.144,10,0.004166667
5.144,330,0
4.1152,320,0
7.2016,300,0
6.6872,320,0
5.144,300,0
2.0576,310,0
3.0864,310,0
6.1728,310,0
6.1728,310,0
0.5144,290,0
8.2304,300,0
8.2304,280,0
8.2304,270,0
11.3168,270,0
11.3168,270,0
10.288,270,0
10.288,270,0
9.2592,240,0
7.2016,250,0
6.1728,260,0
6.1728,270,0
3.0864,280,0
6.1728,280,0
4.1152,270,0
5.144,270,0
3.0864,280,0
4.1152,290,0
4.1152,290,0
3.0864,270,0
3.0864,290,0
3.6008,270,0
6.1728,280,0
6.6872,270,0
7.2016,270,0
9.2592,270,0
8.2304,270,0
9.2592,260,0
9.2592,260,0
9.2592,270,0
8.2304,260,0
7.2016,260,0
6.1728,260,0
5.144,260,0
3.0864,260,0
2.0576,280,0
0.5144,170,0
1.0288,350,0
2.0576,300,0
2.0576,330,0.020833333
1.0288,30,0.020833333
1.0288,240,0.020833333
1.0288,30,0.020833333
4.1152,330,0.020833333
4.6296,330,0.020833333
2.0576,320,0.020833333
5.144,330,0.020833333
6.1728,340,0.020833333
6.1728,340,0.020833333
7.2016,320,0.020833333
9.2592,310,0.020833333
8.2304,300,0.020833333
7.2016,290,0.020833333
5.144,290,0.020833333
4.1152,290,0.020833333
4.1152,280,0.020833333
4.1152,280,0.020833333
6.1728,280,0.020833333
4.1152,290,0.020833333
5.144,300,0.020833333
2.0576,270,0.020833333
0.5144,270,0.020833333
2.0576,10,0.020833333
3.0864,10,0.041666667
4.1152,20,0.041666667
3.0864,10,0.041666667
3.0864,360,0.041666667
1.0288,360,0.041666667
2.0576,360,0.041666667
3.0864,20,0.041666667
4.1152,20,0.041666667
3.0864,50,0.041666667
4.1152,40,0.041666667
3.0864,50,0.041666667
3.0864,50,0.041666667
2.0576,60,0.041666667
8.2304,280,0.041666667
7.2016,260,0.041666667
8.2304,260,0.041666667
8.2304,260,0.041666667
8.2304,270,0.041666667
4.1152,270,0.041666667
3.0864,260,0.041666667
3.0864,210,0.041666667
2.0576,240,0.041666667
1.0288,150,0.041666667
2.0576,160,0.041666667
3.0864,180,0.008333333
1.0288,140,0.008333333
0.5144,60,0.008333333
1.0288,180,0.008333333
0.5144,210,0.008333333
1.0288,240,0.008333333
1.0288,150,0.008333333
1.0288,250,0.008333333
3.0864,260,0.008333333
3.0864,260,0.008333333
7.2016,260,0.008333333
7.2016,250,0.008333333
6.1728,230,0.008333333
6.1728,250,0.008333333
7.2016,270,0.008333333
7.2016,270,0.008333333
7.2016,270,0.008333333
7.2016,270,0.008333333
5.144,270,0.008333333
3.0864,250,0.008333333
4.1152,240,0.008333333
3.0864,290,0.008333333
4.1152,290,0.008333333
4.1152,310,0.008333333
3.6008,320,0.066666667
3.0864,330,0.066666667
3.0864,360,0.066666667
4.1152,10,0.066666667
4.1152,20,0.066666667
4.1152,360,0.066666667
5.144,350,0.066666667
6.1728,10,0.066666667
7.716,360,0.066666667
6.1728,350,0.066666667
8.2304,330,0.066666667
7.2016,330,0.066666667
8.2304,330,0.066666667
8.2304,320,0.066666667
8.2304,330,0.066666667
8.2304,320,0.066666667
6.1728,40,0.066666667
7.2016,330,0.066666667
5.144,360,0.066666667
6.1728,360,0.066666667
6.1728,340,0.066666667
4.1152,350,0.066666667
5.144,350,0.066666667
3.0864,40,0.066666667
3.0864,50,0.058333333
3.0864,350,0.058333333
4.1152,340,0.058333333
4.1152,350,0.058333333
4.1152,360,0.058333333
3.6008,360,0.058333333
3.0864,10,0.058333333
3.0864,10,0.058333333
4.1152,360,0.058333333
5.144,20,0.058333333
6.1728,20,0.058333333
6.1728,20,0.058333333
5.144,20,0.058333333
3.6008,10,0.058333333
4.1152,10,0.058333333
2.0576,10,0.058333333
3.0864,360,0.058333333
3.0864,10,0.058333333
3.0864,10,0.058333333
4.1152,300,0.058333333
7.2016,280,0.058333333
5.144,270,0.058333333
2.0576,240,0.058333333
0.5144,240,0.058333333
3.0864,210,0
1.0288,240,0
1.5432,280,0
3.0864,270,0
1.5432,280,0
0.5144,180,0
3.0864,20,0
3.0864,330,0
7.716,310,0
8.2304,310,0
8.2304,310,0
8.2304,290,0
7.2016,280,0
7.716,300,0
7.2016,290,0
7.2016,290,0
5.144,280,0
7.2016,280,0
3.0864,290,0
2.572,310,0
2.572,300,0
2.572,330,0
